filename,slice,model,psnr,ssim,nmse,psnr_roi,nmse_roi
file1000000.h5,20,unet_roi_focus_l1_roi,26.028414953068022,[0.64717481],0.09172379,23.40493622759518,0.2156835
file1000000.h5,20,unet_attention_gates_l1_roi_agate,26.67844921511619,[0.72161118],0.078972995,24.48784525216653,0.16808385
file1000000.h5,20,unet_full_attention_l1_roi_attn_agate,25.90530028223446,[0.64051856],0.094361216,24.4609319718614,0.1691287
file1000000.h5,21,unet_baseline_l1,26.21779771239097,[0.77130869],0.0865425,19.69316840892472,0.052385963
file1000000.h5,21,unet_cbam_l1_attn,27.1095307280269,[0.79144873],0.07047841,20.92629660720716,0.039436836
file1000000.h5,21,unet_roi_focus_l1_roi,26.15180438457196,[0.71977506],0.08786762,20.65462933544818,0.041982554
file1000000.h5,21,unet_attention_gates_l1_roi_agate,26.705488239908483,[0.7640089],0.07735001,21.111573352011227,0.037789788
file1000000.h5,21,unet_full_attention_l1_roi_attn_agate,26.083865077938995,[0.71757806],0.08925297,20.432955365341208,0.044181075
file1000000.h5,22,unet_baseline_l1,26.16373974723908,[0.79082892],0.08726084,22.35675804753091,0.044566583
file1000000.h5,22,unet_cbam_l1_attn,26.91366568693034,[0.81765429],0.073422104,22.724280483646382,0.040950302
file1000000.h5,22,unet_roi_focus_l1_roi,26.238323612454604,[0.76935587],0.08577505,22.69641519716181,0.041213885
file1000000.h5,22,unet_attention_gates_l1_roi_agate,26.492063718198786,[0.78810249],0.08090717,22.59176681650844,0.04221905
file1000000.h5,22,unet_full_attention_l1_roi_attn_agate,26.34848528785003,[0.77432404],0.08362669,22.172150524824815,0.046501834
file1000000.h5,23,unet_baseline_l1,26.442427872619916,[0.79746743],0.08195088,24.207541015088037,0.044535328
file1000000.h5,23,unet_cbam_l1_attn,27.36397063718444,[0.82659782],0.06628257,25.80448758767341,0.03083259
file1000000.h5,23,unet_roi_focus_l1_roi,26.501590915776298,[0.78698715],0.08084206,24.934578422173857,0.03767046
file1000000.h5,23,unet_attention_gates_l1_roi_agate,26.818947434828388,[0.79228585],0.07514528,25.694365593546152,0.031624395
file1000000.h5,23,unet_full_attention_l1_roi_attn_agate,26.57063496294931,[0.78393841],0.07956699,25.382284802795247,0.03398054
file1000000.h5,24,unet_baseline_l1,26.792109068559004,[0.78697241],0.075573646,22.393077175848305,0.091787435
file1000000.h5,24,unet_cbam_l1_attn,27.815141034247436,[0.82206448],0.05971277,26.06096042727144,0.03944527
file1000000.h5,24,unet_roi_focus_l1_roi,27.056786353370754,[0.76215616],0.07110541,23.211220931819668,0.07602716
file1000000.h5,24,unet_attention_gates_l1_roi_agate,27.20777240732955,[0.77283534],0.06867584,23.13952654109865,0.077292666
file1000000.h5,24,unet_full_attention_l1_roi_attn_agate,27.25456274735204,[0.76813937],0.06793992,24.806414470915247,0.052656204
file1000000.h5,25,unet_baseline_l1,26.7185748337935,[0.80459775],0.07665693,28.861104305642336,0.04615884
file1000000.h5,25,unet_cbam_l1_attn,27.325262091150865,[0.82018698],0.06666267,30.078638089784214,0.034873985
file1000000.h5,25,unet_roi_focus_l1_roi,27.068001327296724,[0.78607859],0.070730835,28.187806382713024,0.0538995
file1000000.h5,25,unet_attention_gates_l1_roi_agate,27.24209567168918,[0.79807228],0.06795155,28.071720392133493,0.05535965
file1000000.h5,25,unet_full_attention_l1_roi_attn_agate,27.198927855683635,[0.78155626],0.06863034,28.076873136342883,0.055294003
file1000007.h5,9,unet_baseline_l1,23.01843505601851,[0.33063175],0.179686,22.16388053672718,0.036098655
file1000007.h5,9,unet_cbam_l1_attn,22.719125959987025,[0.20722954],0.19250637,25.586219631509216,0.016415615
file1000007.h5,9,unet_roi_focus_l1_roi,23.723130042596694,[0.37525308],0.15277237,22.498465065744647,0.033422012
file1000007.h5,9,unet_attention_gates_l1_roi_agate,23.51261222133037,[0.40562881],0.16036017,23.102986078793137,0.029079074
file1000007.h5,9,unet_full_attention_l1_roi_attn_agate,22.4205107571052,[0.25292858],0.20620853,24.311163456385287,0.022017235
file1000007.h5,10,unet_baseline_l1,23.771870583656156,[0.39844109],0.15105039,26.82893402838272,0.02499545
file1000007.h5,10,unet_cbam_l1_attn,22.868525929204935,[0.2656311],0.18597576,26.27123190431746,0.028420461
file1000007.h5,10,unet_roi_focus_l1_roi,24.554346995589622,[0.46636015],0.12614621,26.43730333445025,0.027354201
file1000007.h5,10,unet_attention_gates_l1_roi_agate,24.572818400297656,[0.48423898],0.12561084,26.89599547755291,0.024612445
file1000007.h5,10,unet_full_attention_l1_roi_attn_agate,23.160264895629812,[0.32940141],0.17389311,26.39634933662692,0.027613372
file1000007.h5,11,unet_baseline_l1,21.405481909705017,[0.41584895],0.16414523,23.99318427085213,0.03783832
file1000007.h5,11,unet_cbam_l1_attn,21.63863253219595,[0.41932538],0.15556547,24.128688281165868,0.036675952
file1000007.h5,11,unet_roi_focus_l1_roi,22.139330419227313,[0.48092359],0.1386256,23.580306235886535,0.041612096
file1000007.h5,11,unet_attention_gates_l1_roi_agate,22.309534300597544,[0.49416886],0.1332978,24.460051340082018,0.033981703
file1000007.h5,11,unet_full_attention_l1_roi_attn_agate,20.863083132632283,[0.36081474],0.18598081,23.774312954969762,0.039794125
file1000007.h5,12,unet_baseline_l1,22.14254846581109,[0.43514194],0.17978789,23.34073763999819,0.043082114
file1000007.h5,12,unet_cbam_l1_attn,22.714529904341425,[0.46851174],0.15760224,24.682051922179156,0.031634837
file1000007.h5,12,unet_roi_focus_l1_roi,22.707914074478303,[0.49071085],0.15784247,22.77621648238832,0.04906244
file1000007.h5,12,unet_attention_gates_l1_roi_agate,22.76183492576856,[0.50124496],0.15589489,23.752031937620146,0.039189305
file1000007.h5,12,unet_full_attention_l1_roi_attn_agate,21.71154243258073,[0.39816241],0.19854598,23.645374035797403,0.040163662
file1000007.h5,13,unet_baseline_l1,21.840500415155933,[0.39994641],0.1941655,20.735049617592452,0.07121164
file1000007.h5,13,unet_cbam_l1_attn,22.539142531685012,[0.42563586],0.16531327,23.249408283794057,0.039913073
file1000007.h5,13,unet_roi_focus_l1_roi,22.59196126198294,[0.45552061],0.16331494,21.11824159138234,0.06519763
file1000007.h5,13,unet_attention_gates_l1_roi_agate,22.4956622797719,[0.46304117],0.16697669,21.991225959151407,0.053325307
file1000007.h5,13,unet_full_attention_l1_roi_attn_agate,21.522006633312934,[0.36765975],0.20893992,21.918217462776852,0.054229327
file1000007.h5,14,unet_baseline_l1,22.204038792624328,[0.35946009],0.19088195,19.835741027692013,0.080705784
file1000007.h5,14,unet_cbam_l1_attn,22.44996967383851,[0.34130027],0.18037313,22.680713550237854,0.04191866
file1000007.h5,14,unet_roi_focus_l1_roi,22.86615928166606,[0.40519288],0.16389014,20.076890183765034,0.07634661
file1000007.h5,14,unet_attention_gates_l1_roi_agate,22.698005832112102,[0.40680616],0.17036021,21.027467636813956,0.06133834
file1000007.h5,14,unet_full_attention_l1_roi_attn_agate,21.699358119995075,[0.30484176],0.21440405,21.57481378814206,0.05407511
file1000007.h5,18,unet_baseline_l1,22.269544965959813,[0.41523485],0.21350047,20.834039446111635,0.1515711
file1000007.h5,18,unet_cbam_l1_attn,23.129375376461976,[0.44631579],0.17515235,23.523955958268388,0.08158771
file1000007.h5,18,unet_roi_focus_l1_roi,22.752548725596263,[0.44103102],0.19102865,20.79790207926528,0.15283757
file1000007.h5,18,unet_attention_gates_l1_roi_agate,22.97681742623613,[0.4834756],0.18141434,21.71994457942732,0.12360212
file1000007.h5,18,unet_full_attention_l1_roi_attn_agate,21.78476032952338,[0.36060004],0.23871373,21.114453185313987,0.14209378
file1000007.h5,19,unet_baseline_l1,22.135541728530118,[0.39183388],0.2203065,20.030641280690794,0.18297082
file1000007.h5,19,unet_cbam_l1_attn,23.268183466846544,[0.43024865],0.16973177,22.989115623068255,0.092583664
file1000007.h5,19,unet_roi_focus_l1_roi,22.674089086333368,[0.41549695],0.19461332,20.067340839135525,0.18143116
file1000007.h5,19,unet_attention_gates_l1_roi_agate,22.91913646350205,[0.46470359],0.1839365,20.774053567848398,0.15418443
file1000007.h5,19,unet_full_attention_l1_roi_attn_agate,21.73691552665618,[0.3496735],0.24148494,20.826644553613313,0.1523286
file1000007.h5,20,unet_baseline_l1,22.29153527919174,[0.39379598],0.21249107,21.57127218087432,0.16438389
file1000007.h5,20,unet_cbam_l1_attn,23.56068624275583,[0.44105682],0.15864472,24.307313728206886,0.0875498
